,,,,test_acc,test_acc,attack_auc,attack_auc,attack_ap,attack_ap,attack_f1,attack_f1
,,,,mean,std,mean,std,mean,std,mean,std
dataset,arch,defense,defense_sigma,,,,,,,,
molhiv,gat,logit_noise,0.5,0.8135593220338982,0.0,0.712,0.0745057790450587,0.6980800112769927,0.07693340890717117,0.7843274149356272,0.062199963521155976
molhiv,gcn,logit_noise,0.5,0.8110169491525424,0.004093609250336026,0.488,0.09930872178324633,0.5509347588685823,0.09057640914120738,0.6910941354714908,0.025716846927840046
molhiv,graphsage,logit_noise,0.5,0.8131355932203391,0.0013399481610883203,0.49700000000000005,0.09580651798749855,0.5492813241540022,0.06779524394349884,0.6975546414822119,0.03331567657583983
mutag,gat,logit_noise,0.5,0.6488095238095238,0.0,0.6277777777777779,0.11203321083151241,0.6738257575757576,0.12752551174875726,0.7552564102559389,0.05162085376004723
mutag,gcn,logit_noise,0.5,0.6523809523809524,0.008035101877506586,0.45138888888888884,0.17313205510476995,0.5375132275132275,0.08550143201703193,0.679999999999552,0.04216370213556715
mutag,graphsage,logit_noise,0.5,0.6815476190476191,0.026210009550839096,0.4458333333333334,0.15499928093996673,0.5710251322751323,0.098287749125031,0.6816849816845274,0.034207651793485616
proteins,gat,logit_noise,0.5,0.8248175182481752,0.0,0.7811224489795918,0.10091355809601947,0.8230234271931769,0.07843166800680124,0.7742258394006726,0.052761429044199996
proteins,gcn,logit_noise,0.5,0.6755474452554744,0.15489298376806906,0.45561224489795926,0.11927335255589454,0.51184492036908,0.061159587152710665,0.6666666666662222,0.0
proteins,graphsage,logit_noise,0.5,0.7010948905109489,0.1815177293604886,0.5665816326530612,0.07321275488851309,0.6166157616892911,0.0828135037469591,0.6685714285709805,0.0060233860193570936
