arch,run,seed,test_loss,test_acc,attack_auc,attack_ap
gcn,0,15,0.6548750996589661,0.8050847457627118,0.8284023668639053,0.7356996447494184
gcn,1,16,0.6082417964935303,0.8135593220338984,0.7514792899408285,0.6711061939568728
gcn,2,17,0.6544005274772644,0.8050847457627118,0.7869822485207101,0.7213205822517563
gcn,3,18,0.6096134781837463,0.8135593220338984,0.8402366863905325,0.7689941280439018
gcn,4,19,0.643865168094635,0.8050847457627118,0.7810650887573964,0.7016029407997735
gcn,5,20,0.6967229247093201,0.8135593220338984,0.7928994082840237,0.7044318928934314
gcn,6,21,0.7111354470252991,0.8135593220338984,0.772189349112426,0.7468852728468114
gcn,7,22,0.6347811818122864,0.8135593220338984,0.8106508875739645,0.7217765365538644
gcn,8,23,0.5832776427268982,0.8135593220338984,0.7573964497041421,0.7114132212816424
gcn,9,24,0.5568593740463257,0.8135593220338984,0.7869822485207101,0.7109017616370557
gat,0,15,0.5490827560424805,0.8135593220338984,0.7514792899408285,0.7059918964896341
gat,1,16,0.602078378200531,0.8135593220338984,0.8136094674556213,0.7673668436826332
gat,2,17,0.5926405191421509,0.8135593220338984,0.8047337278106509,0.7258058405831687
gat,3,18,0.6300807595252991,0.8135593220338984,0.7988165680473374,0.7134313901282228
gat,4,19,0.6323496699333191,0.8135593220338984,0.7751479289940828,0.718945854296533
gat,5,20,0.6338503360748291,0.8135593220338984,0.7869822485207101,0.7133951743263484
gat,6,21,0.5607835054397583,0.8135593220338984,0.7988165680473374,0.7624698516666842
gat,7,22,0.6042428612709045,0.8135593220338984,0.8106508875739645,0.7611909458063305
gat,8,23,0.6434533596038818,0.8135593220338984,0.8047337278106509,0.6957340547838284
gat,9,24,0.5926287770271301,0.8135593220338984,0.8313609467455622,0.7833947600915927
graphsage,0,15,0.9205197691917419,0.8135593220338984,0.804733727810651,0.771691556306941
graphsage,1,16,1.8506932258605957,0.8135593220338984,0.7455621301775148,0.6731062965374706
graphsage,2,17,0.9575480818748474,0.8135593220338984,0.7514792899408285,0.7104596813575141
graphsage,3,18,0.8722108006477356,0.8135593220338984,0.8047337278106509,0.7499141883757269
graphsage,4,19,0.8339596390724182,0.8135593220338984,0.7751479289940828,0.7117009624362566
graphsage,5,20,0.6804249882698059,0.8135593220338984,0.7869822485207101,0.7191560073913015
graphsage,6,21,0.7634774446487427,0.8135593220338984,0.7751479289940829,0.6965793319300106
graphsage,7,22,0.6244780421257019,0.8135593220338984,0.7455621301775148,0.6877552362167747
graphsage,8,23,0.9361581206321716,0.8135593220338984,0.8284023668639053,0.7534004681777962
graphsage,9,24,0.7876051068305969,0.8135593220338984,0.7751479289940828,0.6968116850469792
